Country,Time,Balance,Product,Value,Unit
Australia,Apr-25,Net Electricity Production,Natural Gas,3185.7001,GWh
Australia,Apr-25,Net Electricity Production,Solar,4321.4968,GWh
Australia,Apr-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",8132.6239,GWh
Australia,Apr-25,Distribution Losses,Electricity,1022.6518,GWh
Australia,Apr-25,Final Consumption (Calculated),Electricity,19933.6598,GWh
Australia,Apr-25,Net Electricity Production,Wind,2627.0353,GWh
Denmark,Apr-25,Net Electricity Production,Electricity,2131.4483,GWh
Denmark,Apr-25,Net Electricity Production,Hydro,1.235,GWh
Denmark,Apr-25,Net Electricity Production,Total Combustible Fuels,733.3395,GWh
Denmark,Apr-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",117.0198,GWh
Denmark,Apr-25,Net Electricity Production,Natural Gas,44.7651,GWh
Denmark,Apr-25,Net Electricity Production,Solar,514.0455,GWh
Denmark,Apr-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",1881.0496,GWh
Denmark,Apr-25,Total Imports,Electricity,2499.034,GWh
Denmark,Apr-25,Total Exports,Electricity,1561.4049,GWh
Denmark,Apr-25,Distribution Losses,Electricity,130.9028,GWh
Denmark,Apr-25,Final Consumption (Calculated),Electricity,2938.1746,GWh
Denmark,Apr-25,Net Electricity Production,Wind,882.8284,GWh
France,Apr-25,Net Electricity Production,Electricity,40872.9332,GWh
France,Apr-25,Net Electricity Production,Nuclear,27070.8079,GWh
France,Apr-25,Net Electricity Production,Hydro,5274.9436,GWh
France,Apr-25,Net Electricity Production,Total Combustible Fuels,1925.0565,GWh
France,Apr-25,Net Electricity Production,Natural Gas,549.4792,GWh
France,Apr-25,Net Electricity Production,Solar,2915.5588,GWh
France,Apr-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",12959.3489,GWh
France,Apr-25,Total Imports,Electricity,1644.6599,GWh
France,Apr-25,Total Exports,Electricity,7988.6292,GWh
France,Apr-25,Distribution Losses,Electricity,2856.4054,GWh
France,Apr-25,Final Consumption (Calculated),Electricity,30873.4696,GWh
France,Apr-25,Net Electricity Production,Wind,3523.4957,GWh
Germany,Apr-25,Net Electricity Production,Electricity,37551.0222,GWh
Germany,Apr-25,Net Electricity Production,Hydro,1832.7493,GWh
Germany,Apr-25,Net Electricity Production,Total Combustible Fuels,18686.9908,GWh
Germany,Apr-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",8352.3516,GWh
Germany,Apr-25,Net Electricity Production,Natural Gas,5802.7057,GWh
Germany,Apr-25,Net Electricity Production,Solar,10258.7854,GWh
Germany,Apr-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",22298.6575,GWh
Germany,Apr-25,Total Imports,Electricity,6437.3646,GWh
Germany,Apr-25,Total Exports,Electricity,3980.5559,GWh
Germany,Apr-25,Distribution Losses,Electricity,1761.2689,GWh
Germany,Apr-25,Final Consumption (Calculated),Electricity,37206.2806,GWh
Germany,Apr-25,Net Electricity Production,Wind,6616.567,GWh
Japan,Apr-25,Net Electricity Production,Electricity,66722.2727,GWh
Japan,Apr-25,Net Electricity Production,Nuclear,8175.0958,GWh
Japan,Apr-25,Net Electricity Production,Hydro,8388.7027,GWh
Japan,Apr-25,Net Electricity Production,Total Combustible Fuels,38484.6991,GWh
Japan,Apr-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",16122.5698,GWh
Japan,Apr-25,Net Electricity Production,Natural Gas,16683.6712,GWh
Japan,Apr-25,Net Electricity Production,Solar,8965.2075,GWh
Japan,Apr-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",21866.8712,GWh
Japan,Apr-25,Distribution Losses,Electricity,3432.5091,GWh
Japan,Apr-25,Final Consumption (Calculated),Electricity,59994.971,GWh
Japan,Apr-25,Net Electricity Production,Wind,980.2196,GWh
United Kingdom,Apr-25,Net Electricity Production,Electricity,20586.058,GWh
United Kingdom,Apr-25,Net Electricity Production,Nuclear,3025.1676,GWh
United Kingdom,Apr-25,Net Electricity Production,Hydro,355.569,GWh
United Kingdom,Apr-25,Net Electricity Production,Total Combustible Fuels,10055.5751,GWh
United Kingdom,Apr-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",0.45,GWh
United Kingdom,Apr-25,Net Electricity Production,Natural Gas,6560.1198,GWh
United Kingdom,Apr-25,Net Electricity Production,Solar,1788.6048,GWh
United Kingdom,Apr-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",10379.348,GWh
United Kingdom,Apr-25,Total Imports,Electricity,3993.5461,GWh
United Kingdom,Apr-25,Total Exports,Electricity,889.8025,GWh
United Kingdom,Apr-25,Distribution Losses,Electricity,1854.8789,GWh
United Kingdom,Apr-25,Final Consumption (Calculated),Electricity,21741.8205,GWh
United Kingdom,Apr-25,Net Electricity Production,Wind,5275.2172,GWh
United States,Apr-25,Net Electricity Production,Electricity,332500.596,GWh
United States,Apr-25,Net Electricity Production,Nuclear,57869.1712,GWh
United States,Apr-25,Net Electricity Production,Hydro,24210.5224,GWh
United States,Apr-25,Net Electricity Production,Total Combustible Fuels,168631.6166,GWh
United States,Apr-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",47977.6321,GWh
United States,Apr-25,Net Electricity Production,Natural Gas,114243.4385,GWh
United States,Apr-25,Net Electricity Production,Solar,34549.7865,GWh
United States,Apr-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",109085.5898,GWh
United States,Apr-25,Total Imports,Electricity,1225.672,GWh
United States,Apr-25,Total Exports,Electricity,2300.2658,GWh
United States,Apr-25,Distribution Losses,Electricity,21134.2482,GWh
United States,Apr-25,Final Consumption (Calculated),Electricity,308409.5967,GWh
United States,Apr-25,Net Electricity Production,Wind,45457.7083,GWh
People's Republic of China,Apr-25,Net Electricity Production,Electricity,757379.562,GWh
People's Republic of China,Apr-25,Net Electricity Production,Nuclear,39218.3885,GWh
People's Republic of China,Apr-25,Net Electricity Production,Hydro,83196.688,GWh
People's Republic of China,Apr-25,Net Electricity Production,Total Combustible Fuels,431456.6003,GWh
People's Republic of China,Apr-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",396050.7105,GWh
People's Republic of China,Apr-25,Net Electricity Production,Natural Gas,20331.0141,GWh
People's Republic of China,Apr-25,Net Electricity Production,Solar,97227.9552,GWh
People's Republic of China,Apr-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",300606.7489,GWh
People's Republic of China,Apr-25,Net Electricity Production,Wind,106263.7346,GWh
Australia,Mar-25,Net Electricity Production,Electricity,23452.7503,GWh
Australia,Mar-25,Net Electricity Production,Hydro,917.0477,GWh
Australia,Mar-25,Net Electricity Production,Total Combustible Fuels,14581.1959,GWh
Australia,Mar-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",10532.747,GWh
Australia,Mar-25,Net Electricity Production,Natural Gas,3481.5199,GWh
Australia,Mar-25,Net Electricity Production,Solar,4705.3738,GWh
Australia,Mar-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",9091.9078,GWh
Australia,Mar-25,Distribution Losses,Electricity,1139.8667,GWh
Australia,Mar-25,Final Consumption (Calculated),Electricity,22233.7833,GWh
Australia,Mar-25,Net Electricity Production,Wind,3249.1329,GWh
Denmark,Mar-25,Net Electricity Production,Electricity,3130.8203,GWh
Denmark,Mar-25,Net Electricity Production,Hydro,1.391,GWh
Denmark,Mar-25,Net Electricity Production,Total Combustible Fuels,1014.4413,GWh
Denmark,Mar-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",200.4602,GWh
Denmark,Mar-25,Net Electricity Production,Natural Gas,85.7137,GWh
Denmark,Mar-25,Net Electricity Production,Solar,419.389,GWh
Denmark,Mar-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2754.1101,GWh
Denmark,Mar-25,Total Imports,Electricity,2521.713,GWh
Denmark,Mar-25,Total Exports,Electricity,2117.9459,GWh
Denmark,Mar-25,Distribution Losses,Electricity,162.5886,GWh
Denmark,Mar-25,Final Consumption (Calculated),Electricity,3371.9988,GWh
Denmark,Mar-25,Net Electricity Production,Wind,1695.599,GWh
France,Mar-25,Net Electricity Production,Electricity,48329.7613,GWh
France,Mar-25,Net Electricity Production,Nuclear,32273.6694,GWh
France,Mar-25,Net Electricity Production,Hydro,5663.4146,GWh
France,Mar-25,Net Electricity Production,Total Combustible Fuels,3661.2855,GWh
France,Mar-25,Net Electricity Production,Natural Gas,1981.1412,GWh
France,Mar-25,Net Electricity Production,Solar,2586.2396,GWh
France,Mar-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",13781.6535,GWh
France,Mar-25,Total Imports,Electricity,2015.9185,GWh
France,Mar-25,Total Exports,Electricity,8112.6529,GWh
France,Mar-25,Distribution Losses,Electricity,3680.6079,GWh
France,Mar-25,Final Consumption (Calculated),Electricity,37758.7653,GWh
France,Mar-25,Net Electricity Production,Wind,3982.0815,GWh
Germany,Mar-25,Net Electricity Production,Electricity,41511.9022,GWh
Germany,Mar-25,Net Electricity Production,Hydro,1799.5827,GWh
Germany,Mar-25,Net Electricity Production,Total Combustible Fuels,23739.1287,GWh
Germany,Mar-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",11014.7387,GWh
Germany,Mar-25,Net Electricity Production,Natural Gas,8022.352,GWh
Germany,Mar-25,Net Electricity Production,Solar,7842.3476,GWh
Germany,Mar-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",21316.3785,GWh
Germany,Mar-25,Total Imports,Electricity,6501.1166,GWh
Germany,Mar-25,Total Exports,Electricity,4663.7053,GWh
Germany,Mar-25,Distribution Losses,Electricity,2136.4637,GWh
Germany,Mar-25,Final Consumption (Calculated),Electricity,40216.635,GWh
Germany,Mar-25,Net Electricity Production,Wind,7981.9083,GWh
Japan,Mar-25,Net Electricity Production,Electricity,80451.8502,GWh
Japan,Mar-25,Net Electricity Production,Nuclear,8470.604,GWh
Japan,Mar-25,Net Electricity Production,Hydro,6223.6802,GWh
Japan,Mar-25,Net Electricity Production,Total Combustible Fuels,54806.8746,GWh
Japan,Mar-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",22207.2977,GWh
Japan,Mar-25,Net Electricity Production,Natural Gas,25180.7222,GWh
Japan,Mar-25,Net Electricity Production,Solar,7923.0664,GWh
Japan,Mar-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",19573.8731,GWh
Japan,Mar-25,Distribution Losses,Electricity,4138.8234,GWh
Japan,Mar-25,Final Consumption (Calculated),Electricity,73267.669,GWh
Japan,Mar-25,Net Electricity Production,Wind,1381.5907,GWh
United Kingdom,Mar-25,Net Electricity Production,Electricity,23809.8969,GWh
United Kingdom,Mar-25,Net Electricity Production,Nuclear,2946.4717,GWh
United Kingdom,Mar-25,Net Electricity Production,Hydro,657.3786,GWh
United Kingdom,Mar-25,Net Electricity Production,Total Combustible Fuels,11992.4773,GWh
United Kingdom,Mar-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",1.3171,GWh
United Kingdom,Mar-25,Net Electricity Production,Natural Gas,8646.8622,GWh
United Kingdom,Mar-25,Net Electricity Production,Solar,1229.5585,GWh
United Kingdom,Mar-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",11612.9219,GWh
United Kingdom,Mar-25,Total Imports,Electricity,4433.4379,GWh
United Kingdom,Mar-25,Total Exports,Electricity,1001.1794,GWh
United Kingdom,Mar-25,Distribution Losses,Electricity,2726.2307,GWh
United Kingdom,Mar-25,Final Consumption (Calculated),Electricity,24197.6688,GWh
United Kingdom,Mar-25,Net Electricity Production,Wind,6898.0866,GWh
United States,Mar-25,Net Electricity Production,Electricity,343991.5817,GWh
United States,Mar-25,Net Electricity Production,Nuclear,62431.4725,GWh
United States,Mar-25,Net Electricity Production,Hydro,23736.5023,GWh
United States,Mar-25,Net Electricity Production,Total Combustible Fuels,175729.0518,GWh
United States,Mar-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",51550.2437,GWh
United States,Mar-25,Net Electricity Production,Natural Gas,117141.8296,GWh
United States,Mar-25,Net Electricity Production,Solar,29972.5578,GWh
United States,Mar-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",109595.3745,GWh
United States,Mar-25,Total Imports,Electricity,1908.9522,GWh
United States,Mar-25,Total Exports,Electricity,1981.712,GWh
United States,Mar-25,Distribution Losses,Electricity,18821.8225,GWh
United States,Mar-25,Final Consumption (Calculated),Electricity,323179.051,GWh
United States,Mar-25,Net Electricity Production,Wind,50384.3971,GWh
People's Republic of China,Mar-25,Net Electricity Production,Electricity,819013.9101,GWh
People's Republic of China,Mar-25,Net Electricity Production,Nuclear,40849.7055,GWh
People's Republic of China,Mar-25,Net Electricity Production,Hydro,82678.1638,GWh
People's Republic of China,Mar-25,Net Electricity Production,Total Combustible Fuels,489784.6528,GWh
People's Republic of China,Mar-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",449592.2871,GWh
People's Republic of China,Mar-25,Net Electricity Production,Natural Gas,23079.5373,GWh
People's Republic of China,Mar-25,Net Electricity Production,Solar,90763.3354,GWh
People's Republic of China,Mar-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",304161.1444,GWh
People's Republic of China,Mar-25,Net Electricity Production,Wind,114921.8572,GWh
Australia,Feb-25,Net Electricity Production,Electricity,22374.9709,GWh
Australia,Feb-25,Net Electricity Production,Hydro,835.0083,GWh
Australia,Feb-25,Net Electricity Production,Total Combustible Fuels,12945.7237,GWh
Australia,Feb-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",9206.0728,GWh
Australia,Feb-25,Net Electricity Production,Natural Gas,3215.9648,GWh
Australia,Feb-25,Net Electricity Production,Solar,5638.4718,GWh
Australia,Feb-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",9632.793,GWh
Australia,Feb-25,Distribution Losses,Electricity,1087.4837,GWh
Australia,Feb-25,Final Consumption (Calculated),Electricity,21215.4632,GWh
Australia,Feb-25,Net Electricity Production,Wind,2955.7671,GWh
Denmark,Feb-25,Net Electricity Production,Electricity,2861.443,GWh
Denmark,Feb-25,Net Electricity Production,Hydro,1.569,GWh
Denmark,Feb-25,Net Electricity Production,Total Combustible Fuels,1229.226,GWh
Denmark,Feb-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",296.3962,GWh
Denmark,Feb-25,Net Electricity Production,Natural Gas,149.2532,GWh
Denmark,Feb-25,Net Electricity Production,Solar,154.6472,GWh
Denmark,Feb-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",2327.0283,GWh
Denmark,Feb-25,Total Imports,Electricity,2245.096,GWh
Denmark,Feb-25,Total Exports,Electricity,1637.7669,GWh
Denmark,Feb-25,Distribution Losses,Electricity,155.6774,GWh
Denmark,Feb-25,Final Consumption (Calculated),Electricity,3313.0947,GWh
Denmark,Feb-25,Net Electricity Production,Wind,1476.0008,GWh
France,Feb-25,Net Electricity Production,Electricity,47877.209,GWh
France,Feb-25,Net Electricity Production,Nuclear,32005.3753,GWh
France,Feb-25,Net Electricity Production,Hydro,6725.5741,GWh
France,Feb-25,Net Electricity Production,Total Combustible Fuels,3801.4893,GWh
France,Feb-25,Net Electricity Production,Natural Gas,2648.5696,GWh
France,Feb-25,Net Electricity Production,Solar,1650.8298,GWh
France,Feb-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",12929.9669,GWh
France,Feb-25,Total Imports,Electricity,2011.1219,GWh
France,Feb-25,Total Exports,Electricity,6956.5801,GWh
France,Feb-25,Distribution Losses,Electricity,3984.8005,GWh
France,Feb-25,Final Consumption (Calculated),Electricity,38498.2508,GWh
France,Feb-25,Net Electricity Production,Wind,3530.8698,GWh
Germany,Feb-25,Net Electricity Production,Electricity,41517.6476,GWh
Germany,Feb-25,Net Electricity Production,Hydro,1925.4199,GWh
Germany,Feb-25,Net Electricity Production,Total Combustible Fuels,26829.7184,GWh
Germany,Feb-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",12262.9386,GWh
Germany,Feb-25,Net Electricity Production,Natural Gas,10009.9089,GWh
Germany,Feb-25,Net Electricity Production,Solar,3581.3622,GWh
Germany,Feb-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",18116.0909,GWh
Germany,Feb-25,Total Imports,Electricity,6430.9161,GWh
Germany,Feb-25,Total Exports,Electricity,5258.4608,GWh
Germany,Feb-25,Distribution Losses,Electricity,2318.276,GWh
Germany,Feb-25,Final Consumption (Calculated),Electricity,39645.7167,GWh
Germany,Feb-25,Net Electricity Production,Wind,9045.8754,GWh
Japan,Feb-25,Net Electricity Production,Electricity,84739.4784,GWh
Japan,Feb-25,Net Electricity Production,Nuclear,7849.3831,GWh
Japan,Feb-25,Net Electricity Production,Hydro,4183.8215,GWh
Japan,Feb-25,Net Electricity Production,Total Combustible Fuels,62615.9417,GWh
Japan,Feb-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",25845.0119,GWh
Japan,Feb-25,Net Electricity Production,Natural Gas,28603.8935,GWh
Japan,Feb-25,Net Electricity Production,Solar,6923.5157,GWh
Japan,Feb-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",16386.8231,GWh
Japan,Feb-25,Distribution Losses,Electricity,4359.3993,GWh
Japan,Feb-25,Final Consumption (Calculated),Electricity,78684.6858,GWh
Japan,Feb-25,Net Electricity Production,Wind,1539.1171,GWh
United Kingdom,Feb-25,Net Electricity Production,Electricity,25598.878,GWh
United Kingdom,Feb-25,Net Electricity Production,Nuclear,3131.6194,GWh
United Kingdom,Feb-25,Net Electricity Production,Hydro,793.6221,GWh
United Kingdom,Feb-25,Net Electricity Production,Total Combustible Fuels,12820.0884,GWh
United Kingdom,Feb-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",1.1895,GWh
United Kingdom,Feb-25,Net Electricity Production,Natural Gas,9137.5984,GWh
United Kingdom,Feb-25,Net Electricity Production,Solar,452.9074,GWh
United Kingdom,Feb-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",12736.5188,GWh
United Kingdom,Feb-25,Total Imports,Electricity,2957.6384,GWh
United Kingdom,Feb-25,Total Exports,Electricity,1126.3657,GWh
United Kingdom,Feb-25,Distribution Losses,Electricity,2980.1087,GWh
United Kingdom,Feb-25,Final Consumption (Calculated),Electricity,24101.0556,GWh
United Kingdom,Feb-25,Net Electricity Production,Wind,8314.7163,GWh
United States,Feb-25,Net Electricity Production,Electricity,347432.0295,GWh
United States,Feb-25,Net Electricity Production,Nuclear,61803.5668,GWh
United States,Feb-25,Net Electricity Production,Hydro,21105.2764,GWh
United States,Feb-25,Net Electricity Production,Total Combustible Fuels,202709.6063,GWh
United States,Feb-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",65226.5728,GWh
United States,Feb-25,Net Electricity Production,Natural Gas,130303.0179,GWh
United States,Feb-25,Net Electricity Production,Solar,21274.7706,GWh
United States,Feb-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",86624.1723,GWh
United States,Feb-25,Total Imports,Electricity,1723.4573,GWh
United States,Feb-25,Total Exports,Electricity,2762.5894,GWh
United States,Feb-25,Distribution Losses,Electricity,13676.4281,GWh
United States,Feb-25,Final Consumption (Calculated),Electricity,330688.0384,GWh
United States,Feb-25,Net Electricity Production,Wind,39192.0991,GWh
People's Republic of China,Feb-25,Net Electricity Production,Electricity,700269.7915,GWh
People's Republic of China,Feb-25,Net Electricity Production,Nuclear,38683.1871,GWh
People's Republic of China,Feb-25,Net Electricity Production,Hydro,67455.8145,GWh
People's Republic of China,Feb-25,Net Electricity Production,Total Combustible Fuels,406558.4276,GWh
People's Republic of China,Feb-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",373195.7142,GWh
People's Republic of China,Feb-25,Net Electricity Production,Natural Gas,19157.7673,GWh
People's Republic of China,Feb-25,Net Electricity Production,Solar,82772.3811,GWh
People's Republic of China,Feb-25,Net Electricity Production,"Total Renewables (Hydro, Geo, Solar, Wind, Other)",268128.0962,GWh
People's Republic of China,Feb-25,Net Electricity Production,Wind,104783.7858,GWh
Australia,Jan-25,Net Electricity Production,Electricity,24380.4116,GWh
Australia,Jan-25,Net Electricity Production,Hydro,829.355,GWh
Australia,Jan-25,Net Electricity Production,Total Combustible Fuels,14092.655,GWh
Australia,Jan-25,Net Electricity Production,"Coal, Peat and Manufactured Gases",10063.3487,GWh
Australia,Jan-25,Net Electricity Production,Natural Gas,3465.058,GWh
Australia,Jan-25,Net Electricity Production,Solar,6390.4817,GWh
